"volume","chapter","japanese_title","romanized_title","viz_title","pages","release_date","anime"
"22",205,"砂砂団秘密基地","Suna-Suna-Dan Himitsu Kichi","The Sand-Sand Band's Secret Fort",19,2001-10-29,"Episode 124 (p. 2-19)"
"23",206,"点火","Tenka","Ignition",19,2001-11-05,"Episode 125 (p. 2-19)"
"23",207,"悪夢","Akumu","Nightmare",19,2001-11-12,"Episode 125 (p. 2-19)"
"23",208,"守護神","Shugoshin","Guardian Spirit",19,2001-11-19,"Episode 125 (p. 2-5, 10-19)Episode 126 (p. 6-9)"
"23",209,"超えて行く","Koete Yuku","I Will Defeat You",21,2001-11-26,"Episode 126 (p. 2-21)"
"23",210,"0","Zero","0",17,2001-12-03,"Episode 126 (p. 2-17)"
"23",211,"王","Ou","King",19,2001-12-10,"Episode 127 (p. 2-19)"
"23",212,"いくつかの正義","Ikutsuka no Seigi","Some Justice",19,2001-12-17,"Episode 127 (p. 2-19)"
"23",213,"VIP","Bippu","V.I.P.",23,2001-12-28,"Episode 128 (p. 2-23)"
"23",214,"砂の国脱出作戦","Suna no Kuni Dasshutsu Sakusen","Strategy to Escape the Sand Kingdom",19,2002-01-07,"Episode 128 (p. 2-19)"
"23",215,"Last waltz","Rasuto Warutsu","Last Waltz",19,2002-01-21,"Episode 129 (p. 2-19)"
"23",216,"ビビの冒険","Bibi no Bōken","Vivi's Adventure",19,2002-01-28,"Episode 129 (p. 2-19)"
"24",217,"密航者","Mikkōsha","Stowaway",19,2002-02-04,"Episode 130 (p. 2-19)"
"24",218,"「記録指針」が丸い理由","Rogu Pōsu ga Marui Wake","Why the Log Pose is Dome-Shaped",19,2002-02-18,"Episode 130 (p. 2-13)Episode 144 (p. 14-18)"
"24",219,"サルベージ王マシラ","Sarubēji-Ō Mashira","Masira the Salvage King",19,2002-02-25,"Episode 144 (p. 2-19)"
"24",220,"海底散歩","Kaitei Sanpo","A Walk on the Seafloor",19,2002-03-04,"Episode 144 (p. 2-19)"
"24",221,"怪物","Kaibutsu","Monsters",19,2002-03-11,"Episode 145 (p. 2-19)"
"24",222,"大型ルーキー","Ōgata Rūkī","The Giant Novice",19,2002-03-18,"Episode 145 (p. 2-7)Episode 146 (p. 8-19)"
"24",223,"ワタクシはこの町では決してケンカしないと誓います","Watakushi wa Kono Machi de wa Kesshite Kenka Shinai to Chikaimasu","I Promise Never to Fight in This Town",19,2002-03-25,"Episode 146 (p. 2-19)"
"24",224,"夢を見るな","Yume o Miruna","Do Not Dream",19,2002-04-01,"Episode 146 (p. 2-19)"
"24",225,"人の夢","Hito no Yume","People's Dreams",19,2002-04-08,"Episode 147 (p. 2-19)"
"24",226,"海底探索王ショウジョウ","Kaitei Tansaku-Ō Shōjō","Shoujou, the Salvage King of the Seafloor",19,2002-04-15,"Crazy Rainbow (p. 1-2)Episode 147 (p. 2-18)"
"25",227,"うそつきノーランド","Usotsuki Nōrando","Noland the Liar",19,2002-04-22,"Episode 148 (p. 2-19)"
"25",228,"「猿山連合軍最終園長」モンブラン・クリケット","'Saruyama Rengō-gun Rasuto Bosu' Monburan Kuriketto","Mont Blanc Cricket, the Last Boss of the Monkey Mountain Allied Force",19,2002-04-27,"Episode 148 (p. 2-19)"
"25",229,"メシを食おう","Meshi o Kuō","Let's Eat",19,2002-05-13,"Episode 149 (p. 2-19)"
"25",230,"サウスバードを追え!!","Sausu Bādo o Oe!!","Pursue the South Bird!",19,2002-05-20,"Episode 149 (p. 2-19)"
"25",231,"ハイエナのベラミー","Haiena no Beramī","Bellamy the Hyena",19,2002-05-27,"Episode 150 (p. 2-19)"
"25",232,"一億の男","Ichioku no Otoko","The 100 Million Berry Man",19,2002-06-03,"Episode 150 (p. 2-10)Episode 151 (p. 11-18)"
"25",233,"世界最高権力","Sekai Saikō Kenryoku","The World's Greatest Power",19,2002-06-10,"Episode 151 (p. 2-7, 15-17)Episode 145 (p. 8-14)"
"25",234,"ご記憶下さいます様に","Gokioku Kudasaimasu Yō ni","Please Remember",19,2002-06-17,"Episode 151 (p. 2-19)"
"25",235,"突き上げる海流","Nokku Appu Sutorīmu","The Knock Up Stream",19,2002-06-24,"Episode 152 (p. 2-19)"
"25",236,"船は空をゆく","Fune wa Sora o Yuku","The Ship Sails to the Sky",19,2002-07-01,"Episode 778 (p. 1)Episode 152 (p. 2-19)"
"26",237,"上空にて","Jōkū nite","High in the Sky",19,2002-07-08,"Episode 778 (p. 1)Episode 153 (p. 2-19)"
"26",238,"天国の門","Tengoku no Mon","Heaven's Gate",17,2002-07-15,"Episode 778 (p. 1)Episode 153 (p. 2-18)"
"26",239,"エンジェルビーチ","Enjeru Bīchi","Angel Beach",17,2002-07-22,"Episode 778 (p. 1)Episode 154 (p. 2-18)"
"26",240,"ダイアル・エネルギー","Daiaru Enerugī","Dial Power",17,2002-07-29,"Episode 778 (p. 1)Episode 154 (p. 2-17)"
"26",241,"天の裁き","Ten no Sabaki","Heaven's Judgment",19,2002-08-05,"Crazy Rainbow (p. 1-2)Episode 155 (p. 2-19)"
"26",242,"第2級犯罪者","Dai Ni-kyū Hanzaisha","Class-2 Criminals",17,2002-08-12,"Episode 778 (p. 1)Episode 155 (p. 2-3)Episode 156 (p. 4-17)"
"26",243,"試練","Shiren","Trial",17,2002-08-26,"Episode 157 (p. 2-17)"
"26",244,"SOS","Esuōesu","S.O.S.",19,2002-09-02,"Episode 778 (p. 1)Episode 158 (p. 2-19)"
"26",245,"神の島の冒険","Kami no Shima no Bōken","Adventure on Kami's Island",17,2002-09-09,"Episode 778 (p. 1)Episode 159 (p. 2-17)"
"26",246,"迷いの森の神官サトリ","Mayoi no Mori no Shinkan Satori","Satori, Vassal of the Forest of No Return",19,2002-09-14,"Episode 160 (p. 2-19)"
"27",247,"玉の試練","Tama no Shiren","Ball Challenge",19,2002-09-22,"Episode 778 (p. 1)Episode 160 (p. 2-6)Episode 161 (p. 7-19)"
"27",248,"元神様 vs 神官","Moto Kami-sama vs Shinkan","Former Kami vs. Vassal",19,2002-10-07,"Episode 778 (p. 1)Episode 162 (p. 2-19)"
"27",249,"雲隠れの村","Kumogakure no Mura","The Village Hidden in the Cloud",19,2002-10-12,"Episode 778 (p. 1)Episode 162 (p. 2-4)Episode 163 (p. 5-19)"
"27",250,"玉ドラゴン","Dama Doragon","Ball Dragon",19,2002-10-21,"Episode 778 (p. 1)Episode 163 (p. 2-19)"
"27",251,"序曲(オーバーチュア)","Ōbāchua","Overture",19,2002-10-28,"Episode 778 (p. 1)Episode 164 (p. 2-19)"
"27",252,"JUNCTION","Jankushon","Junction",19,2002-11-02,"Episode 778 (p. 1)Episode 165 (p. 2-19)"
"27",253,"ヴァース","Vāsu","Varse",19,2002-11-11,"Episode 778 (p. 1)Episode 166 (p. 2-19)"
"27",254,"夜明曲(オーバード)","Ōbādo","Aubade",19,2002-11-18,"Brand New World (p. 1-2)Episode 167 (p. 3-19)"
"27",255,"うわばみと探索組","Uwabami to Tansaku Chīmu","The Anaconda and the Search Team",19,2002-11-25,"Episode 778 (p. 1)Episode 168 (p. 2-19)"
"28",256,"「戦鬼」ワイパー","""Senki"" Waipā","Wyper the Berserker",19,2002-12-02,"Episode 778 (p. 1)Episode 168 (p. 2-8)Episode 169 (p. 9-19)"
"28",257,"貝（ダイアル）バトル","Daiaru Batoru","Dial Battle",19,2002-12-09,"Episode 778 (p. 1)Episode 169 (p. 2-19)"
"28",258,"いろんな南","Ironna Minami","The Many Souths",19,2002-12-16,"Episode 778 (p. 1)Episode 170 (p. 2-9, 12-19)Episode 169 (p. 10-11)"
"28",259,"海賊ゾロ vs 戦士ブラハム","Kaizoku Zoro vs Senshi Burahamu","Pirate Zoro vs. Warrior Braham",19,2002-12-30,"Episode 778 (p. 1)Episode 170 (p. 2-19)"
"28",260,"海賊ルフィ vs 戦鬼ワイパー","Kaizoku Rufi vs Senki Waipā","Pirate Luffy vs. Berserker Wyper",19,2003-01-06,"Episode 171 (p. 2-17)"
"28",261,"戦士ゲンボウ vs 神兵町ヤマ","Senshi Genbō vs Shinpeichō Yama","Warrior Genbo vs. Heavenly Warriors Commander Yama",19,2003-01-20,"Episode 778 (p. 1)Episode 171 (p. 2-11, 15-19)Episode 172 (p. 12-14)"
"28",262,"海賊チョッパー vs 神官ゲダツ","Kaizoku Choppā vs Shinkan Gedatsu","Pirate Chopper vs. Vassal Gedatsu",19,2003-01-27,"Episode 778 (p. 1)Episode 172 (p. 2-19)"
"28",263,"海賊ナミと変な騎士 vs 副神兵長ホトリとコトリ","Kaizoku Nami to Henna Kishi vs Fuku Shinpeichō Hotori to Kotori","Pirate Nami and the Weird Knight vs. Heavenly Warriors Subcommanders Hotori and Kotori",19,2003-02-03,"Episode 172 (p. 2-4)Episode 173 (p. 5-18)Episode 174 (p. 19)"
"28",264,"戦士カマキリ vs 神・エネル","Senshi Kamakiri vs Goddo Eneru","Warrior Kamakiri vs. Kami Eneru",19,2003-02-10,"Episode 173 (p. 2-6, 11-19)Episode 174 (p. 7-10)"
"29",265,"海賊ロビン vs 神兵長ヤマ","Kaizoku Robin vs Shinpeichō Yama","Pirate Robin vs. Heavenly Forces Commander Yama",19,2003-02-17,"Episode 174 (p. 2-19)"
"29",266,"海賊チョッパー vs 神官オーム","Kaizoku Choppā vs Shinkan Ōmu","Pirate Chopper vs. Vassal Ohm",19,2003-02-24,"Episode 174 (p. 2-5)Episode 175 (p. 6-19)"
"29",267,"行進曲(マーチ)","Māchi","March",17,2003-03-03,"Episode 175 (p. 2-17)"
"29",268,"組曲(スウィート)","Suwīto","Suite",18,2003-03-10,"Episode 176 (p. 2-7, 11-13, 15)Episode 174 (p. 8-10, 14, 17)"
"29",269,"協奏曲(コンチェルト)","Koncheruto","Concerto",19,2003-03-17,"Episode 176 (p. 2-19)"
"29",270,"小夜曲(セレナーデ)","Serenāde","Serenade",19,2003-03-31,"Episode 177 (p. 2-19)"
"29",271,"海賊ゾロ vs 神官オーム","Kaizoku Zoro vs Shinkan Ōmu","Pirate Zolo vs. Vassal Ohm",19,2003-04-07,"Episode 177 (p. 2-8)Episode 178 (p. 9-19)"
"29",272,"戯曲（プレイ）","Purei","Play",19,2003-04-14,"Episode 174 (p. 2-4)Episode 178 (p. 5-13)Episode 179 (p. 14-19)"
"29",273,"五重奏(クインテット)","Kuintetto","Quintet",19,2003-04-21,"Episode 179 (p. 2-19)"
"29",274,"聖譚曲(オラトリオ)","Oratorio","Oratorio",20,2003-04-28,"Brand New World (p. 1-2)Episode 180 (p. 3-21)"
"29",275,"神曲(ディビーナコメイディア)","Dibīna Komeidia","Divina Comedia",19,2003-05-12,"Episode 180 (p. 2-13)Episode 181 (p. 14-19)"
"30",276,"SHANDIA RHYTHM","Shandia Rizumu","Shandian Rhythm",19,2003-05-19,"Episode 181 (p. 2-17)Episode 182 (p. 17-19)"
"30",277,"箴言(マクシム)","Makushimu","Maxim",19,2003-05-26,"Episode 182 (p. 2)Episode 181 (p. 3-17)"
"30",278,"コニス","Konisu","Conis",19,2003-06-02,"Episode 182 (p. 2-19)"
"30",279,"海賊ルフィ vs（バーサス）神（ゴッド）・エネル","Kaizoku Rufi bāsasu Goddo Eneru","Pirate Luffy vs. Kami Eneru",18,2003-06-09,"Episode 182 (p. 2-19)"
"30",280,"浮上","Fujō","Floating",19,2003-06-16,"Episode 183 (p. 2-19)"
"30",281,"デスピア","Desupia","Deathpiea",19,2003-06-23,"Episode 183 (p. 2-19)"
"30",282,"望み","Nozomi","Desire",19,2003-06-30,"Episode 184 (p. 2-19)"
"30",283,"恋の救出前線","Koi no Kyūshutsu Zensen","On the Front Line of Rescuing Love",19,2003-07-07,"Episode 184 (p. 2-6)Episode 185 (p. 7-19)"
"30",284,"悪ィな","Warīna","Sorry",19,2003-07-14,"Share the World (p. 1-2)Episode 185 (p. 3-16)Episode 186 (p. 17-19)"
"30",285,"狂想曲(カプリッチオ)","Kapuritchio","Capriccio",19,2003-07-19,"Episode 186 (p. 2-19)"
"31",286,"シャンドラの魔物","Shandora no Mamono","The Shandoran Demon",17,2003-07-28,"Episode 186 (p. 2-8)Episode 187 (p. 9-17)"
"31",287,"神殺し","Kamigoroshi","Kami Killing",19,2003-08-11,"Episode 187 (p. 2-19)"
"31",288,"祟り","Tatari","Curse",19,2003-08-25,"Episode 187 (p. 2-19)"
"31",289,"望月","Bōgetsu","Full Moon",21,2003-09-01,"Episode 188 (p. 2-21)"
"31",290,"シャンドラの灯","Shandora no Hi","The Light of Shandora",19,2003-09-08,"Episode 188 (p. 2-19)"
"31",291,"ここにいる","Koko ni Iru","We'll Be Here",19,2003-09-13,"Episode 188 (p. 2-3)Episode 189 (p. 4-19)"
"31",292,"あふことは片われ月の雲隠れ","Afukoto wa Katawaredzuki no Kumogakure","To Meet, like the Half-Moon Hidden by Clouds",19,2003-09-22,"Episode 189 (p. 2-19)"
"31",293,"舞曲","Borero","Bolero",19,2003-09-29,"Episode 189 (p. 2-19)"
"31",294,"雷迎","Raigō","Kingdom Come",19,2003-10-06,"Episode 190 (p. 2-19)"
"31",295,"巨大豆蔓","Jaianto Jakku","Giant Jack",19,2003-10-11,"Episode 190 (p. 2-7)Episode 191 (p. 8-17)"
"32",296,"最空局面","Saikū Kyokumen","High-Altitude Situation",19,2003-10-20,"Episode 191 (p. 2-19)"
"32",297,"大地讃称","Daichi Sanshō","Praise for the Land",19,2003-10-27,"Episode 191 (p. 2-3)Episode 192 (p. 4-19)"
"32",298,"島の歌声","Rabu Songu","Love Song",19,2003-11-01,"Episode 192 (p. 2-19)"
"32",299,"幻想曲","Fantajia","Fantasia",19,2003-11-10,"Episode 193 (p. 2-19)"
"32",300,"交響曲","Shinfonī","Symphony",19,2003-11-22,"Episode 193 (p. 2-19)"
"32",301,"我ここに至る","Ware Koko ni Itaru","I Was Here",19,2003-12-01,"Episode 194 (p. 2-19)"
"32",302,"最終楽章","Fināre","Finale",19,2003-12-08,"Episode 195 (p. 2-19)"
"32",303,"金持ち海賊団","Kanemochi Kaizoku-dan","Rich Pirates",19,2003-12-15,"Episode 195 (p. 2-3, 10-11, 14)Episode 203 (p. 16-18)Episode 207 (p. 4-9, 13)Episode 225 (p. 19)"
"32",304,"長い島の冒険","Nagai Shima no Bōken","Long Island Adventure",21,2003-12-22,"Episode 207 (p. 2-21)"
"32",305,"銀ギツネのフォクシー","Gin Gitsune no Fokushī","Foxy the Silver Fox",19,2004-01-05,"Episode 207 (p. 2-6)Episode 208 (p. 7-19)"
"33",306,"ドーナツレース！！","Dōnatsu Rēsu!!","Donut Race!",19,2004-01-19,"Episode 208 (p. 2-15)Episode 209 (p. 16-19)"
"33",307,"レディ～イ ドーナツ！！","Redīi Dōnatsu!!","Ready, Set, Donut!",19,2004-01-26,"Episode 209 (p. 2-19)"
"33",308,"妨害大作戦","Bōdai Daisakusen","Obstructive Tactics",19,2004-02-02,"Episode 210 (p. 2-19)"
"33",309,"グロッキーモンスターズ","Gurokkī Monsutāzu","Groggy Monsters",17,2004-02-09,"Episode 210 (p. 2-17)"
"33",310,"グロッキーリング！！","Gurokkī Ringu!!","Groggy Ring!!",19,2004-02-16,"Episode 211 (p. 2-19)"
"33",311,"ラフゲーム","Rafu Gēmu","Rough Game",19,2004-02-23,"Episode 211 (p. 2-19)"
"33",312,"GOAL!!","Gōru!!","Goal!!",19,2004-03-01,"Episode 212 (p. 2-19)"
"33",313,"MAIN EVENT","Mein Ibento","Main Event",19,2004-03-08,"Episode 212 (p. 2-11)Episode 215 (p. 8-9)Episode 217 (p. 12-19)"
"33",314,"コンバット！！！","Konbatto!!!","Combat!!",19,2004-03-15,"Episode 217 (p. 2-19)"
"33",315,"秘密の部屋","Himitsu no Heya","Secret Room",19,2004-03-22,"Episode 218 (p. 2-19)"
"33",316,"ブラザー魂","Burazā Souru","Brother Soul",19,2004-03-29,"Episode 218 (p. 2-19)"
"34",317,"K.O.","Nokku Auto","K.O.",21,2004-04-12,"Episode 219 (p. 2-21)"
"34",318,"閉会","Heikai","Closure",19,2004-04-19,"Episode 219 (p. 2-17)Episode 226 (p. 18-19)"
"34",319,"海軍本部「大将」青キジ","Kaigun Honbu ""Taishō"" Aokiji","Admiral Aokiji of the Navy Headquarters",19,2004-04-26,"Episode 227 (p. 2-19)"
"34",320,"最高戦力","Saikō Senryoku","Ultimate Military Force",19,2004-05-10,"Episode 227 (p. 2-14)Episode 228 (p. 15-19)"
"34",321,"一騎討ち","Ikkiuchi","One-on-One",19,2004-05-17,"Episode 228 (p. 2-19)"
"34",322,"パッフィング・トム","Paffingu Tomu","Puffing Tom",19,2004-05-24,"Episode 228 (p. 2-9)Episode 229 (p. 10-18)"
"34",323,"「水の都」 ウォーターセブン","""Mizu no Miyako"" Wōtā Sebun","The City of Water, Water Seven",19,2004-05-31,"Episode 229 (p. 2-12)Episode 230 (p. 13-19)"
"34",324,"水上都市の冒険","Suijō Toshi no Bōken","Adventures in the City of Water",19,2004-06-07,"Episode 229 (p. 2-8)Episode 230 (p. 9-18)"
"34",325,"フランキー一家","Furankī Ikka","The Franky Family",19,2004-06-14,"Episode 231 (p. 2-5, 10-19)Episode 230 (p. 6-9)"
"34",326,"アイスバーグさん","Aisubāgu-san","Mr. Iceberg",17,2004-06-21,"Episode 231 (p. 2-13)Episode 232 (p. 14-17)"
"34",327,"造船島 造船工場1番ドック","Zōsenjima Zōsen Kōjō Ichi-ban Dokku","Shipbuilding Island, Repair Dock No. 1",21,2004-06-28,"Kaze wo Sagashite (p. 1-2)Episode 232 (p. 3-21)"
"35",328,"海賊誘拐事件","Kaizoku Yūkai Jiken","The Pirate Abduction Incident",19,2004-07-12,"Episode 233 (p. 2-19)"
"35",329,"おれの名は「フランキー」","Ore no Na wa ""Furankī""","My Name Is Franky",19,2004-07-17,"Episode 233 (p. 2-11)Episode 234 (p. 12-19)"
"35",330,"決めた","Kimeta","It's Decided",17,2004-07-26,"Episode 234 (p. 2-17)"
"35",331,"大喧嘩","Ōgenka","The Big Argument",19,2004-08-02,"Episode 234 (p. 2-3)Episode 235 (p. 4-19)"
"35",332,"ルフィ vs ウソップ","Rufi vs Usoppu","Luffy vs. Usopp",18,2004-08-09,"Episode 235 (p. 2-8)Episode 236 (p. 9-19)"
"35",333,"船長","Kyaputen","Captain",18,2004-08-23,"Episode 236 (p. 2-19)"
"35",334,"密室の大事件","Misshitsu no Daijiken","Big Trouble in the Secret Room",19,2004-08-30,"Episode 237 (p. 2-19)"
"35",335,"WARNING","Wōningu","Warning",19,2004-09-06,"Episode 237 (p. 2-14)Episode 238 (p. 15-19)"
"35",336,"ルフィ vs フランキー","Rufi vs Furankī","Luffy vs. Franky",19,2004-09-13,"Episode 238 (p. 2-19)"
"36",337,"「水の都」の用心棒","""Mizu no Miyako"" no Yōjinbō","Protectors of the City of Water",19,2004-09-18,"Episode 238 (p. 2-14)Episode 239 (p. 15-19)"
"36",338,"風来砲","Kū do Van","Coup de Vent",19,2004-09-27,"Episode 239 (p. 2-19)"
"36",339,"うわさ","Uwasa","Rumors",19,2004-10-04,"Episode 239 (p. 2-9)Episode 240 (p. 10-19)"
"36",340,"闇を引く女","Yami o Hiku Onna","The Woman Who Brings Darkness",19,2004-10-09,"Episode 240 (p. 2-15)Episode 241 (p. 16-19)"
"36",341,"悪魔","Akuma","Demon",19,2004-10-18,"Episode 241 (p. 2-19)"
"36",342,"闇の使者","Yami no Shisha","The Messengers of Darkness",19,2004-10-25,"Episode 242 (p. 2-19)"
"36",343,"CIPHER POL No.9","Saifā Pōru Nanbā Nain","Cipher Pol No. 9",19,2004-11-01,"Episode 242 (p. 2-17)Episode 243 (p. 18-19)"
"36",344,"抵抗勢力","Teikō Seiryoku","Opposing Force",19,2004-11-08,"Episode 243 (p. 2-19)"
"36",345,"潜伏者","Senpukusha","Sleepers",19,2004-11-15,"Episode 243 (p. 2-19)"
"36",346,"9番目の正義","Kyū-banme no Seigi","The Ninth Justice",19,2004-11-29,"Episode 244 (p. 2-19)"
"37",347,"六式","Rokushiki","Six Powers",19,2004-12-06,"Episode 244 (p. 2-3)Episode 245 (p. 4-19)"
"37",348,"戦闘力","Sentōryoku","Fighting Power",20,2004-12-13,"Episode 245 (p. 2-19)"
"37",349,"一市民","Ichi Shimin","Ordinary Citizens",19,2004-12-20,"Episode 246 (p. 2-19)"
"37",350,"橋の下倉庫","Hashi no Shita Sōko","The Warehouse Under the Bridge",19,2005-01-03,"Episode 246 (p. 2-17)Episode 247 (p. 18-19)"
"37",351,"クラバウターマン","Kurabautāman","Klabautermann",19,2005-01-17,"Episode 247 (p. 2-19)"
"37",352,"トムズ ワーカーズ","Tomuzu Wākāzu","Tom's Workers",19,2005-01-24,"Episode 247 (p. 2-7)Episode 248 (p. 8-19)"
"37",353,"伝説の船大工","Densetsu no Funadaiku","The Legendary Shipwright",19,2005-01-31,"Episode 248 (p. 2-3, 9-19)Episode 249 (p. 4-8)"
"37",354,"海列車","Umi Ressha","Sea Train",19,2005-02-07,"Episode 248 (p. 2-19)"
"37",355,"スパンダム","Supandamu","Spandam",19,2005-02-14,"Episode 249 (p. 2-19)"
"37",356,"トムさん","Tomu-san","Mr. Tom",19,2005-02-28,"Episode 249 (p. 2-10)Episode 250 (p. 11-19)"
"37",357,"カティ・フラム","Kati Furamu","Cutty Flam",21,2005-03-07,"Episode 250 (p. 2-21)"
"38",358,"復活","Fukkatsu","Reactivation",19,2005-03-14,"Episode 320 (p. 3)Episode 250 (p. 11-14)Episode 251 (p. 15-19)"
"38",359,"ビンゴ","Bingo","Bingo",19,2005-03-19,"Episode 251 (p. 2-19)"
"38",360,"まもなく出航","Mamonaku Shukkō","Departing Soon",19,2005-03-28,"Episode 252 (p. 2-19)"
"38",361,"追伸","Tsuishin","P.S.",19,2005-04-04,"Episode 252 (p. 2-9)Episode 253 (p. 10-19)"
"38",362,"引き潮","Hiki Shio","Ebb Tide",19,2005-04-11,"Episode 253 (p. 2-19)"
"38",363,"アクア・ラグナ","Akua Raguna","Aqua Laguna",19,2005-04-18,"Episode 254 (p. 2-19)"
"38",364,"ココロ","Kokoro","Kokoro",19,2005-04-25,"Episode 254 (p. 2-9)Episode 255 (p. 10-17)"
"38",365,"ロケットマン！！","Rokettoman!!","Rocketman!!",19,2005-05-09,"Episode 254 (p. 2-5)Episode 255 (p. 6-19)"
"38",366,"出撃！！","Shutsugeki!!","Sortie!",19,2005-05-16,"Episode 256 (p. 2-14)Episode 257 (p. 15-19)"
"38",367,"そげキング","Sogekingu","Sniper King",19,2005-05-23,"Episode 257 (p. 2-19)"
"39",368,"海列車バトルゲーム","Umi Ressha Batoru Gēmu","Sea Train Battle Game",19,2005-05-30,"Episode 258 (p. 2-19)"
"39",369,"ラーメン拳法","Rāmen Kenpō","Ramen Kung Fu",19,2005-06-06,"Episode 259 (p. 2-4, 9-19)Episode 258 (p. 5-8)"
"39",370,"一人じゃない","Hitori janai","You're Not Alone",19,2005-06-13,"Episode 260 (p. 2-6)Episode 259 (p. 7-19)"
"39",371,"天晴Tボーン大佐","Appare Tī-Bōn Taisa","The Honorable Captain T Bone",19,2005-06-20,"Episode 260 (p. 2-10)Episode 261 (p. 11-17)"
"39",372,"パラージュ","Parāju","Plastic Surgery",19,2005-06-27,"Episode 260 (p. 2-12)Episode 261 (p. 13-19)"
"39",373,"必要悪","Hitsuyō Aku","Necessary Evil",19,2005-07-04,"Episode 261 (p. 2-5)Episode 262 (p. 6-19)"
"39",374,"争奪戦","Sōdatsusen","Scramble",19,2005-07-16,"Episode 262 (p. 2-13)Episode 263 (p. 14-19)"
"39",375,"エニエス・ロビーの超人達","Eniesu Robī no Chōjin-tachi","The Supermen of Enies Lobby",19,2005-07-25,"Episode 263 (p. 2-13)Episode 264 (p. 14-19)"
"39",376,"わかった！！！","Wakatta!!!","I Got It!!",19,2005-08-01,"Episode 264 (p. 2-16)Episode 265 (p. 17-19)"
"39",377,"司法の島の大決戦！！","Shihō no Shima no Daikessen!!","The Big Showdown on the Judiciary Island",19,2005-08-08,"Episode 265 (p. 2-19)"
"40",378,"被害状況","Higai Jōkyō","Casualties",19,2005-08-22,"Episode 265 (p. 2-6)Episode 266 (p. 7-19)"
"40",379,"道力","Dōriki","Power Level",19,2005-08-29,"Crazy Rainbow (p. 1-2)Episode 266 (p. 3-10)Episode 267 (p. 11-19)"
"40",380,"エニエス・ロビー本島行き急行便","Eniesu Robī Hontōyuki Ekusupuresu","Enies Lobby Main Island Express",19,2005-09-05,"Episode 267 (p. 2-19)"
"40",381,"クビ","Kubi","Fired",18,2005-09-12,"Episode 268 (p. 2-19)"
"40",382,"鬼の隠れ家","Oni no Kakure-ga","Demon Lair",19,2005-09-17,"Episode 268 (p. 2-8)Episode 269 (p. 9-19)"
"40",383,"ルフィ vs ブルーノ","Rufi vs Burūno","Luffy vs. Blueno",19,2005-09-26,"Episode 270 (p. 2-3, 9-19)Episode 269 (p. 4-8)"
"40",384,"反撃ののろしを上げろ","Hangeki no Noroshi o Agero","Signal the Counterattack",19,2005-10-03,"Episode 270 (p. 2-7)Episode 271 (p. 8-19)"
"40",385,"道はある","Michi wa Aru","There Is a Way",19,2005-10-08,"Episode 271 (p. 2-15)Episode 272 (p. 16-19)"
"40",386,"前代未聞","Zendai Mimon","Unprecedented",15,2005-10-17,"Episode 272 (p. 2-15)"
"40",387,"ギア","Gia","Gear",19,2005-10-31,"Episode 273 (p. 2-9)Episode 272 (p. 10-19)"
"40",388,"ギア2","Gia Sekando","Gear Two",19,2005-11-07,"Episode 273 (p. 2-19)"
"41",389,"応答","Ōtō","Response",19,2005-11-14,"Episode 274 (p. 2-19)"
"41",390,"応戦","Ōsen","Accepting the Challenge",19,2005-11-21,"Episode 274 (p. 2-19)"
"41",391,"悪魔と呼ばれた少女","Akuma to Yobareta Shōjo","The Girl They Called a Demon",19,2005-11-28,"Episode 275 (p. 3-19)"
"41",392,"デレシ","Dereshi","Dereshi",19,2005-12-12,"Episode 275 (p. 2-19)"
"41",393,"オルビア","Orubia","Olvia",19,2005-12-19,"Episode 276 (p. 2-19)"
"41",394,"オハラの悪魔達","Ohara no Akuma-tachi","The Demons of Ohara",19,2005-12-26,"Episode 276 (p. 2-19)"
"41",395,"オハラ vs 世界政府","Ohara vs Sekai Seifu","Ohara vs. the World Government",19,2006-01-07,"Episode 277 (p. 2-19)"
"41",396,"サウロ","Sauro","Saul",19,2006-01-23,"Episode 277 (p. 2-19)"
"41",397,"未来へ届くように","Mirai-e Todoku youni","In Hopes of Reaching the Future",19,2006-01-30,"Episode 278 (p. 2-19)"
"41",398,"宣戦布告","Sensen Fukoku","Declaration of War",19,2006-02-06,"Episode 278 (p. 2-19)"
"41",399,"滝に向かって飛べ！！","Taki ni Mukatte Tobe!!","Jump Toward the Waterfall!!",19,2006-02-13,"Episode 284 (p. 2-19)"
"42",400,"解放の鍵","Kaihō no Kagi","The Key to Freedom",19,2006-02-20,"Episode 284 (p. 2-3)Episode 285 (p. 4-19)"
"42",401,"海賊 vs CP9","Kaizoku vs Shī Pī Nain","Pirates vs. CP9",19,2006-02-27,"Episode 286 (p. 2-19)"
"42",402,"2番の手錠","Ni-ban no Tejō","Handcuffs No. 2",19,2006-03-06,"Episode 286 (p. 2-7)Episode 287 (p. 8-19)"
"42",403,"Mr.騎士道","Misutā Kishidō","Mr. Chivalry",19,2006-03-13,"Episode 287 (p. 2-15)Episode 288 (p. 16-19)"
"42",404,"フランキー vs フクロウ","Furankī vs Fukurô","Franky vs. Fukurou",19,2006-03-20,"Episode 288 (p. 2-19)"
"42",405,"パワー","Pawā","Power",19,2006-03-27,"Episode 289 (p. 2-19)"
"42",406,"生命帰還","Seimei Kikan","Life Return",19,2006-04-10,"Episode 289 (p. 2-10)Episode 290 (p. 11-19)"
