"title","author","rank_score","rating","n_reviews","n_pages","year","first_published","publisher","characters","language","series","setting","description"
"Detik-Detik Yang Menentukan: Jalan Panjang Indonesia Menuju Demokrasi","Bacharuddin Jusuf Habibie",1762,3.81,43,550,2006,2006,"THC Mandiri",NA,"Indonesian",NA,NA,"Sejarah tidak layak untuk dilupakan begitu saja. Pak Habibie menganggap, peristiwa Reformasi adalah catatan terpenting kehidupan bangsa Indonesia, termasuk detik-detik pergantian kekuasaan 21 Mei 1998.Mengingat bahwa buku ini ditulis berdasarkan catatan harian beliau dan komentar berbagai surat kabar nasional pada masa itu maka buku ini seolah-olah merupakan rekaman ulang"
"Rumah Bambu: Kumpulan Cerpen Pertama dan Terakhir","Y.B. Mangunwijaya",1743,3.63,47,200,2007,2000,"Kepustakaan Populer Gramedia",NA,"Indonesian",NA,NA,"Rumah Bambu adalah kumpulan cerpen Romo Mangun yang pertama dan terakhir kali diterbitkan. Sebagian besar cerpen-cerpen itu ditemukan di rumah penulis, di Kuwera, Yogyakarta, dalam keadaan penuh koreksi dan sulit dibaca. Dari duapuluh cerpen yang ada dalam buku ini, hanya tiga yang pernah dipublikasikan.Hampir semua tema cerita dalam buku ini adalah peristiwa-peristiwa yan"
"De Winst","Afifah Afra",1613,3.82,57,336,2008,NA,"Indiva","Rangga Puruhita, Kareen, Sekar Prembayun","Indonesian","De Winst #1","Indonesia","Usai menamatkan sarjana ekonomi dari Universiteit Leiden, RM Rangga Puruhita kembali ke Hindia Belanda, untuk mempraktekkan ilmu yang ia miliki demi kemajuan para pribumi. Tetapi, berbagai hal pelik harus ia hadapi. Mulai dari ribetnya aturan kebangsawanan Keraton Surakarta, perjodohan paksa dengan Rr. Sekar Prembayun yang sulit ia lepaskan, hingga permasalahan ketidakadil"
"99 Cahaya di Langit Eropa: Perjalanan Menapak Jejak Islam di Eropa","Hanum Salsabiela Rais",1595,4.21,580,424,2011,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Aku mengucek-ucek mata. Lukisan Bunda Maria dan Bayi Yesus itu terlihat biasa saja. Jika sedikit lagi saja hidungku menyentuh permukaan lukisan, alarm di Museum Louvre akan berdering-dering. Aku menyerah. Aku tidak bisa menemukan apa yang aneh pada lukisan itu. ""Percaya atau tidak, pinggiran hijab Bunda Maria itu bertahtakan kalimat tauhid Laa Ilaaha Illallah, Hanum,"" ungk"
"Sebuah Pertanyaan untuk Cinta","Seno Gumira Ajidarma",1574,3.75,62,85,2003,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Cinta barangkali memang indah, namun cinta di kota metropolitan yang begitu longgar norma-normanya, ternyata tidak selalu pas tidak selalu berakhir dengan : ""dan mereka hidup bahagia selama-lamanya"".Dalam buku kumpulan cerita pendek ini, penulisnya merekam peristiwa cinta yang menghinggapi pasangan-pasangan yang tidak pas tersebut : antara seorang gadis dengan suami orang,"
"Diorama Sepasang Al Banna","Ari Nur",1519,3.83,130,288,2003,NA,"DAR! Mizan",NA,"Indonesian","Al Banna #1","Indonesia","Bagaimana jadinya ketika sepasang manusia berbeda cara pandang dalam memahami kehidupan sanggup bertautan, bergandengan dan hidup menggapai impian. Ataukah mereka justru saling berpaling, berpisah, dan saling menjauh?Novel Islami yang unik dan sarat informasi ini menjadi karya terbaik kedua dalam ""Sayembara Menulis Novel Remaja Islami Mizan 2002""."
"Deru Campur Debu","Chairil Anwar",1507,4.08,22,48,2000,1949,"Dian Rakyat",NA,"Indonesian",NA,NA,"ia masih mau hidup seratus tahun lagitapi raga memang rapuhlebih seperempat abad lalu ia pergihanya karya-karyanya yang kini masih tinggaldan juga,semangatnya yang garang menggelegak...kita butuh semangat macam itukejalangan, kadang harus adadan memang,harus tetap ada...Agar tinju bisa tetap terkepaldan lengan bisa tetap teracung..."
"Negeri van Oranje","Wahyuningrat",1463,3.86,385,478,2009,NA,"Bentang Pustaka","Lintang, Banjar, Wicak, Daus, Geri","Indonesian",NA,NA,"Kata siapa kuliah di luar negeri itu gampang? Perkenalkan Lintang, Banjar, Wicak, Daus, dan Geri. Lima anak manusia terlahir di Indonesia, terdampar bersekolah di Belanda demi meraih gelar S2. Mulai dari kurang tidur karena begadang demi paper, kurang tenaga karena mesti genjot sepeda 5 km bolak-balik ke kampus setiap hari, sampai kurang duit hingga terpaksa mencari peker"
"Naga Sasra Sabuk Intan","S.H. Mintardja",1456,4.23,21,NA,1974,1967,NA,NA,"Indonesian",NA,NA,"Cerita Silat Jawa karangan S.H. Mintardja.Berdirinya kerajaan Mataram sebagai latar belakangnya.Tokoh : Agung Sedayu"
"Makhluk Manis dalam Bis","Hilman Hariwijaya",1444,3.47,29,126,1987,NA,"PT Gramedia Pustaka Utama",NA,"Indonesian","Lupus #3","Indonesia","Anak-anak kelas dua punya kebiasaan baru.Tepat jam satu tengah hari bolong, mereka selalu tampak asyik menunggu bis jurusan Blok M. Lupus, Aji, Boim, dan Gito. Rada aneh juga, rumah mereka jadi mendadak pada pindah ke Blok M semua. Selidik punya selidik, ternyata mereka lagi ngejar cewek. Nggak tau anak sekolah mana. Yang pasti setiap jam satu, wajah manisnya selalu nampak"
"Kau, Aku & Sepucuk Angpau Merah","Tere Liye",1408,4.14,586,512,2012,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Ada tujuh miliar penduduk bumi saat ini. Jika separuh saja dari mereka pernah jatuh cinta, maka setidaknya akan ada satu miliar lebih cerita cinta. Akan ada setidaknya 5 kali dalam setiap detik, 300 kali dalam semenit, 18.000 kali dalam setiap jam, dan nyaris setengah juta sehari-semalam, seseorang entah di belahan dunia mana, berbinar, harap-harap cemas, gemetar, malu-mal"
"Burlian (Serial Anak-Anak Mamak, Buku 2)","Tere Liye",1373,4.17,214,343,2009,2009,"Penerbit Republika","Burlian","Indonesian","Anak-anak Mamak #02",NA,"Burlian, anak kampung dengan segala keriangan keluarganya. Bercita-cita ingin naik kapal besar keliling dunia. Buku 2, dari Serial Anak2 Mamak. Buku 3, PUKAT terbit Februari 2010, Buku 4, Eliana direncanakan terbit Oktober 2010, Buku 1, Amelia direncanakan terbit Februari 2011."
"Rantau 1 Muara","Ahmad Fuadi",1372,4.22,353,400,2013,NA,"Gramedia Pustaka Utama",NA,"Indonesian","Negeri 5 Menara #3",NA,"Alif merasa berdiri di pucuk dunia. Bagaimana tidak? Dia telah mengelilingi separuh dunia, tulisannya tersebar di banyak media, dan diwisuda dengan nilai terbaik. Dia yakin perusahaan-perusahaan akan berlomba-lomba merekrutnya.Namun Alif lulus di saat yang salah. Akhir 90-an, krisis ekonomi mencekik Indonesia dan negara bergolak di masa reformasi. Satu per satu, surat peno"
"2","Donny Dhirgantoro",1342,3.54,184,418,2011,NA,"Grasindo",NA,"Indonesian",NA,NA,"Ini Bulutangkis, dan Ini Indonesia, dimana impian dibawa ke dunia nyata, tidak berlaku untuk Gusni Annisa Puspita, remaja yang 'kelebihannya' adalah keterbatasannya. Cita-citanya sejak kecil untuk membuat orang tuanya senang dengan bermain bulutangkis terus kandas.Suatu malam sebuah kenyataan pahit datang untuknya, sebuah kenyataan tak berperi, hidup yang tidak berpihak ke"
"Perahu Kertas","Sapardi Djoko Damono",1308,4.17,28,NA,2008,1983,NA,NA,"Indonesian",NA,NA,"""Imaji adalah unsur dominan dalam puisi"", seperti Mata Pisau; kumpulan puisi dalam Perahu Kertas adalah salah satu dari kumpulan puisi Sapardi Djoko Damono yang mendukung pernyataan tersebut."
"Winter in Tokyo","Ilana Tan",1294,4.07,521,313,2008,NA,"Gramedia Pustaka Utama","Ishida Keiko, Nishimura Kazuto, Kitano Akira, Iwamoto Yuri, Sato Haruka...more, Sato Tomoyuki, Osawa couple, Hirayama Jun...less","Indonesian","Season Series #3","Tokyo(Japan)","Tetangga baruku, Nishimura Kazuto, datang ke Tokyo untuk mencari suasana baru. Itulah katanya, tapi menurutku alasannya lebih dari itu. Dia orang yang baik, menyenangkan, dan bisa diandalkan. Perlahan-lahan---mungkin sejak malam Natal itu---aku mulai memandangnya dengan cara yang berbeda. Dan sejak itu pula rasanya sulit membayangkan hidup tanpa dia.---Keiko tentang Kazuto"
"Di Atas Sajadah Cinta","Habiburrahman El-Shirazy",1276,3.52,93,259,2006,NA,"Republika, Pesantren Basmala",NA,"Indonesian",NA,NA,"Kisah-kisah teladan Islami peneguh iman dan penenteram jiwa"
"Topi-topi Centil","Hilman Hariwijaya",1270,3.44,17,128,2007,NA,"PT Gramedia Pustaka Utama",NA,"Indonesian","Lupus #5","Indonesia","Lupus pernah punya mimpi indah. Mimpi punya topi mungil seperti yang sering dipakai Andi. Yang tiap hari akan ia pakai kalau ke sekolah. Biar nggak kepanasan kalo lagi ngejar bis. Biar diliatin cewek-cewek manis. Suatu hari, mimpi itu hampir menjadi kenyataan. Karena Lulu ternyata membeli topi seperti itu. Tapi Lulu membelikan untuk Andi, bukan untuk Lupus. Lupun pun sedih"
"Sunatan Masal (Lupus Kecil, #2)","Hilman Hariwijaya",1250,3.39,19,127,1990,NA,"PT Gramedia Pustaka Utama","Mami. Papi, Lupus, Lulu","Indonesian","Lupus Kecil #2",NA,"Jika ada peribahasa berbunyi : ""Sudah jatuh tertimpa tangga pula"", kalian pasti tau artinya. Tapi jika peribahasa ini dilontarkan oleh Lupus, maka pertanyaannya akan menjadi lain. Yaitu: berapa bijikah benjol yang ada di kepala orang yang tertimpa tangga itu?Siapa pun tak bakal bisa jawab. Dan itulah Lupus. Tang selalu tampil ""ajaib"".Ya setelah lama ngumpet, Lupus Kecil me"
"Puisi Mbeling","Remy Sylado",1229,3.67,21,254,2004,NA,"KPG",NA,"Indonesian",NA,NA,"Inilah buku pertama yang memuat puisi-puisi mbeling karya Remy Sylado, pencetus gerakan puisi mbeling, dari 1971 sampai 2003.Dipilih sendiri oleh sang penyair, 143 puisi dalam buku ini akan membuat kita tersenyum, tertawa terbahak-bahak, atau merenung. Namun jangan salah sangka, di dalam kelakarnya Remy serius. Dia menelanjangi sikap feodal dan munafik masyarakat kita, ter"
"Chairul Tanjung Si Anak Singkong","Tjahja Gunawan Diredja",1211,3.93,148,400,2012,NA,"Penerbit Buku Kompas",NA,"Indonesian",NA,NA,"Bung CT merupakan salah satu tokoh muda yang sukses membangunkomunitas bisnisnya, bukan berangkat dari sesuatu yang sudah besar.Perjuangannya dalam membangun apa yang telah dicapainya sampai saat ini tidak lepas dari kepemimpinan dan visi yang dimilikinya dalam ikut sertamembangun negara ini. Buku ini menceritakan secara rinci perjuangannya itu.Djoko Suyanto, Menteri Koord"
"Dimsum Terakhir","Clara Ng",1204,3.61,131,361,2006,2006,"Gramedia Pustaka Utama","Siska (Clara Ng), Indah Juwita Purnama, Rosi, Novera, Nung","Indonesian",NA,"Indonesia","Empat perempuan kembar yang mempunyai empat kehidupan berbeda. Empat masa depan yang membingungkan. Empat rahasia masa lalu yang menghantui. Dan satu usia biologis yang terus-menerus berdetik.Siska Yuanita, Indah Pratidina, Rosi Liliani, dan Novera Kresnawati terpaksa harus pulang untuk mendampingi ayah yang diprediksi tidak punya harapan hidup lagi. Mereka tidak pernah me"
"Refrain","Winna Efendi",1196,3.85,525,318,2009,2009,"Gagas Media","Nikola Ciputra, Annalise Putri, Nathaniel Wirawan, Oliver Saputra","Indonesian",NA,NA,"Tidak ada persahabatan yang sempurna di dunia ini, yang ada hanya orang-orang yang berusaha sebisa mungkin untuk mempertahankannya.**Ini bisa jadi sebuah kisah cinta biasa. Tentang sahabat sejak kecil, yang kemudian jatuh cinta kepada sahabatnya sendiri. Sayangnya, di setiap cinta harus ada yang terluka.Ini barangkali hanya sebuah kisah cinta sederhana. Tentang tiga sahaba"
"Lintang Kemukus Dini Hari","Ahmad Tohari",1184,4.12,40,234,1985,1985,"Gramedia","Srintil, Rasus, Goder","Indonesian","Dukuh Paruk #2",NA,"Buku kedua seri Dukuh Paruk.Kepergian Rasus yang tanpa pamit memberikan luka tersendiri bagi Srintil. Ia merasa telah ditolak oleh lelaki yang dicintainya. Seiring waktu, ketenaran Srintil sebagai seorang ronggeng mencapai puncaknya. Parasnya yang ayu serta kekenesannya membuat bayarannya menjadi lebih mahal. Di puncak segala ketenaran itu, Srintil merasa kosong. Layaknya"
"Pukat (Serial Anak-anak Mamak, Buku 3)","Tere Liye",1183,4.18,182,351,2010,2010,"Penerbit Republika",NA,"Indonesian","Anak-anak Mamak #03",NA,"""Jangan pernah membenci Mamak kau, jangan sekali-kali. Karena jika kau tahu sedikit saja apa yang telah ia lakukan demi kau, Amelia, Burlian dan Ayuk Eli, maka yang kau tahu itu sejatinya bahkan belum sepersepuluh dari pengorbanan, rasa cinta serta rasa sayangnya kepada kalian...""Meski dibesarkan dalam kesederhanaan, keterbatasan, berbaur dengan kepolosan dan kenakalan. Ma"
"Pudarnya Pesona Cleopatra","Habiburrahman El-Shirazy",1178,3.65,319,111,2004,NA,"Republika",NA,"Indonesian",NA,NA,"Tak terasa airmataku mengalir, dadaku sebak kerana rasa terharu yang teramat sangat. Tangisanku mulai gugur dalam isak tangisanku, semua kebaikan Raihana yang selama ini mulai terbayang di benak fikiranku. Wajahnya yang teduh bagaikan baby face, pengorbanan serta pengabdiannya yang tiada putusnya, dengan suaranya yang lembut, tangisannya yang mengalirkan perasaan haru dan"
"Travelers' Tale, Belok Kanan: Barcelona!","Adhitya Mulya",1163,3.74,469,230,2007,NA,"Gagas Media","Retno, Francis, Farah, Jusuf","Indonesian",NA,NA,"Keempat orang bersahabat dari kecil. Di masa SMA mereka mulai saling jatuh cinta tanpa pernah tersampaikan. Retno dua kali menolak Francis padahal sebenarnya Farah memendam cinta pada pria itu. Menambah masalah jadi pelik, Jusuf juga sebenarnya menyayangi Farah. Mereka tumbuh besar dan bekerja di negara berbeda. Masalah dimulai ketika Francis mengirimkan undangan kepada ti"
"9 Summers 10 Autumns","Iwan Setyawan",1147,3.51,437,238,2011,2011,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Di kaki Gunung Panderman, di rumah berukuran 6 x 7 meter, seorang anak laki-laki bermimpi. Kelak, ia akan membangun kamar di rumah mungilnya. Hidup bertujuh dengan segala sesuatu yang terbatas, membuat ia bahkan tak memiliki kamar sendiri. Bapaknya, sopir angkot yang tak bisa mengingat tanggal lahirnya. Sementara ibunya, tidak tamat Sekolah Dasar. Ia tumbuh besar bersama e"
"Tirani dan Benteng: Dua Kumpulan Puisi","Taufiq Ismail",1142,3.95,21,171,1993,NA,"Yayasan Ananda",NA,"Indonesian",NA,NA,"Kumpulan puisi Taufiq Ismail tahun 1960 - 1966."
"Islam dan Sosialisme","H.O.S. Tjokroaminoto",1133,4.14,23,149,2003,1905,"Penerbit Tride",NA,"Indonesian",NA,NA,"Tjokroaminoto yang dilahirkan pada 16 Agustus 1882, di Madium Jawa Timur adalah seorang tokoh besar Indonesia. Belanda menjulukinya sebagai Raja Jawa yang Tak Bermahkota. Ia menjadi pemimpin Sarekat Islam (SI) (1912) dan sukses membawa SI sebagai organisasi pergerakan nasional terbesar ketika itu. Ia menjadi tokoh dan guru utama pergerakan. Dua muridnya yang terkemuka adal"
"Gara-Gara Jilbabku?","Asma Nadia",1120,3.55,13,227,2008,2006,"Lingkar Pena Publishing House",NA,"Indonesian",NA,NA,"BENAR NGGAK SIH, JILBAB JADI GARA-GARA?Gara-gara jilbab, jauh sama ortu?Gara-gara jilbab, prestasi sekolah turun?Gara-gara jilbab, nggak dapat kerjaan?Dan yang paling parah, apa gara-gara jilbab juga kita jadi nggak bisa dapat jodoh?!Trus, apa iya semua kemudahan akan datang, kalau kita nggak pakai jilbab? Kasih sayang ortu, prestasi, pekerjaan, dan... lamaran si dia?Tapi."
"Dan Hujan Pun Berhenti","Farida Susanty",1116,3.63,260,322,2007,NA,"Grasindo","Iris (divers), Leostrada, Spiza","Indonesian",NA,NA,"Leo has a very gloomy past life. This past life creates a great longing to end his life. His family is rich but devastated The one and only who is closest to him left him, which makes him so saddened that he decides to run away from his home.Intimidating yet adored by girls in his school, Leo has four loyal friends whom he doesn't fully trust. In fact, Leo never trusts any"
"Bidadari Bumi: 9 Kisah Wanita Shalehah","Halimah Alaydrus",1105,4.26,22,150,2009,NA,"Wafa Production",NA,"Indonesian",NA,NA,"Buku ini berkisah tentang wanita-wanita mulia yang patut dijadikan teladan dalam kehidupan. Terutama bagi wanita muslimah yang di abad ini mengalamai krisis keteladanan wanita-wanita salehah. Kisah-kisah kehidupan yang menyentuh hati, dramatik, mengalir, apa adanya disajikan secara indah dalam buku ini. Penulis menghadirkan kisah pengalaman suka dukanya selama belajar di k"
"Ikan-ikan Hiu, Ido, Homa","Y.B. Mangunwijaya",1094,3.85,27,316,1987,NA,"Djambatan","Gabi, Kiema-Dudu","Indonesian",NA,"Indonesia","Novel sejarah yang menggabungkan catatan kebudayaan masyarakat Halmahera, Maluku Utara, dengan cerita kehidupan lintas generasi dari suku Tobelo, dan menyimpulnya dalam satu benang merah: semangat kepahlawanan dan keberanian masyarakat dalam menghadapi penguasa dan bangsa kolonial.Berlatar belakang Halmahera pada zaman kolonial dan relasinya dengan para sultan Ternate-Tido"
"Ballada Orang-Orang Tercinta","W.S. Rendra",1080,4.05,14,52,1971,1957,"Pustaka Jaya",NA,"Indonesian",NA,NA,"Berisi 19 puisi dan merupakan buku kumpulan sajaknya yang pertama."
"Rumpi Kala Hujan (Lupus Kecil, #4)","Hilman Hariwijaya",1071,3.4,23,168,1992,1992,"PT Gramedia Pustaka Utama",NA,"Indonesian","Lupus Kecil #4",NA,"Keluarga Lupus Kecil emang keluarga kecil yang aneh. Di saat hujan lebat mengguyur bumi, Papi, Mami, Lupus, dan Lulu malah ngerumpi. Ya, soalnya mereka pada rebutan siapa yang berhak pakai payung. Masing-masing punya alasan yang kuat, dan saling berdebat. Dan masalahnya memang jadi makin panjang. Karena di keluarga Lupus, biar masih kecil juga diberi suara untuk berdebat."
"Eliana (Serial Anak-Anak Mamak, Buku 4)","Tere Liye",1071,4.23,185,519,2011,NA,"Penerbit Republika",NA,"Indonesian","Anak-anak Mamak #04",NA,"Selamat datang di dunia yang tidak pernah kalian bayangkan. Di mana rasa ingin tahu, proses belajar, menyatu dengan kepolosan, kenakalan, hingga isengnya dunia anak-anak. Selamat datang di sebuah petualangan hebat, ketika persahabatan, pengorbanan, dan pemahaman yang baik atas kehidupan tumbuh dari wajah-wajah ceria terus melekat hingga mereka tumbuh dewasa.Adalah Eliana,"
"Khotbah di Atas Bukit","Kuntowijoyo",1069,3.7,28,198,2008,NA,"Bentang Pustaka","Barman, Popi","Indonesian",NA,"Indonesia","Novel ini mengisahkan kehidupan Barman (lelaki tua yang sudah pensiun) yang berlibur ke gunung (villa) bersama seorang gadis muda (Popi). Liburan itu menjadi bermakna dan merupakan pencarian hakekat hidup dan perburuan spiritual yang indah baginya. Kuntowijoyo mengisahkan dengan lembut dan penuh makna apa yang dikhotbahkan lelaki tua itu di atas bukit."
"Di Bawah Lentera Merah: Riwayat Sarekat Islam Semarang Sampai Tahun 1920","Soe Hok Gie",1066,4.12,51,110,2005,NA,"Bentang",NA,"Indonesian",NA,NA,"Di Bawah Lentera Merah menarasikan satu periode krusial dalam sejarah Indonesia yaitu ketika benih-benih gagasan kebangsaan mulai disemaikan, antara lain lewat upaya berorganisasi. Melalui sumber data berupa kliping-kliping koran antara tahun 1917-1920an dan wawancara autentik yang berhasil dilakukan terhadap tokoh-tokoh sejarah yang masih tersisa, penulisnya mencoba melac"
"Pulang","Leila S. Chudori",1060,4.2,617,464,2012,2012,"Kepustakaan Populer Gramedia","Dimas Suryo, Hananto Prawiro, Lintang Utara, Vivienne Deveraux, Nugroho...more, Risjaf, Surti Anandari, Sagara Alam, Narayana Lefabre...less","Indonesian",NA,NA,"Paris, Mei 1968. Ketika revolusi mahasiswa berkecamuk di Paris, Dimas Suryo seorang eksil politik Indonesia bertemu Vivienne Deveraux, seorang mahasiswa Prancis yang ikut demonstrasi melawan pemerintah Prancis. Pada saat yang sama, Dimas menerima kabar dari Jakarta: Hananto Prawiro, sahabatnya, ditangkap tentara dan dinyatakan tewas. Dimas merasa cemas dan gamang. Bersama"
"Sepatu Dahlan","Khrisna Pabichara",1033,3.92,172,392,2012,NA,"Noura Books",NA,"Indonesian",NA,NA,"Inilah hari dengan kesedihan tak berkesudahan. Batinku meraung-raung meratapi ketidakberdayaan. Kami bukan orang asing bagi rasa lapar...Mata berkunang-kunang, keringat bercucuran, lutut gemetaran, telinga mendenging-denging... Sungguh, aku butuh tidur, sejenak pun bolehlah. Tetapi, aku tahu tidak akan bisa tertidur dengan mudah.***Kehidupan mendidik Dahlan kecil dengan ke"
"Dari Penjara Ke Penjara Bagian Satu","Tan Malaka",1030,4.16,16,303,2000,1951,"Teplok Press",NA,"Indonesian",NA,NA,"Buku sejarah hidup Tan Malaka, Bapak Republik Indonesia yang ditulis secara pribadi ketika beliau berada dalam Penjara di tanah airnya sendiri. Buku ini terdiri dari Tiga jilid, dimana jilid pertama ditulis oleh beliau ketika berada di Penjara Magelang. Hampir sebagian hidup Tan Malaka dihabiskannya di dalam penjara, akibat aktifitas politiknya yang anti kolonialisme. Namu"
"Saksikan Bahwa Aku Seorang Muslim","Salim Akhukum Fillah",1016,4.27,118,392,2007,NA,"Pro-U Media",NA,"Indonesian",NA,"Indonesia","Menjadi muslim adalah menjadi kain putih. Lalu Allah mencelupnya menjadi warna ketegasan, kesejukan, keceriaan, dan cinta; rahmat bagi semesta alam. Aku jadi rindu pada pelangi itu, pelangi yang memancarkan celupan warna Ilahi. Telah tiba saatnya, derai berkilau Islam tak lagi terpisahkan dari pendar menawan seorang muslim."
"Man Tiger","Eka Kurniawan",1012,4.05,752,172,2015,2004,"Verso Books",NA,"English",NA,NA,"A wry, affecting tale set in a small town on the Indonesian coast, Man Tiger tells the story of two interlinked and tormented families and of Margio, a young man ordinary in all particulars except that he conceals within himself a supernatural female white tiger. The inequities and betrayals of family life coalesce around and torment this magical being. An explosive act of"
"Bung Karno: Penyambung Lidah Rakyat Indonesia","Sukarno",946,4.31,118,425,2007,1965,"Yayasan Bung Karno",NA,"Indonesian",NA,NA,"The most complete autobiography of the first president of Indonesia. This is the revised edition from the previous controversial edition."
"Perjuangan Kita","Sutan Sjahrir",892,4.3,6,59,1999,1946,"Pusat Dokumentasi Politik Guntur 49",NA,"Indonesian",NA,NA,"Edisi Khusus Mengenang 90th Sutan Sjahrir"
"Bekisar Merah","Ahmad Tohari",847,3.76,62,312,1993,NA,"Gramedia Pustaka Utama",NA,"Indonesian","Bekisar Merah #1","Indonesia","Bekisar, unggas elok hasil kawin silang antara ayam hutan dan ayam biasa sering menjadi hiasan rumah orang-orang kaya. Dan, adalah Lasi yang berayah bekas serdadu Jepang; kulitnya yang putih dan matanya yang khas membawa dirinya menjadi bekisar untuk hiasan sebuah gedung dan kehidupan megah seorang lelaki kaya di Jakarta. Lahir dalam keluarga petani gula kelapa sebuah desa"
"Canting","Arswendo Atmowiloto",827,3.98,111,408,2007,1986,"Gramedia Pustaka Utama","Pak Bei, Ni, Bu Bei","Indonesian",NA,"Indonesia","Cerita tentang batik canting yang mewakili budaya yang terkalahkan.Canting, simbol budaya yang kalah, tersisih, dan melelahkan. Adalah Ni---sarjana farmasi, calon pengantin, putri Ngabean---yang mencoba menekuni, walau harus berhadapan dengan Pak Bei, bangsawan berhidung mancung yang perkasa; Bu Bei, bekas buruh batik yang menjadi ibunya; serta kakak-kakaknya yang sukses.C"
"Orang Miskin Dilarang Sakit","Eko Prasetyo",806,3.65,10,146,2004,NA,NA,NA,"Indonesian",NA,NA,"Kesehatan memang mahal. Ongkos obat dan rumah sakit membumbung tanpa kontrol. Adanya penyakit membuat banyak pihak mendapat untung. Sudah biayanya mahal, setiap kesalahan medis sangat sulit untuk diadili. Mahalnya ongkos masih juga diperuncing oleh beredarnya obat palsu.Soal kesehatan yang tak beres membuat bangsa ini rutin dikunjung wabah. Dari demam berdarah, malaria, TB"
"Indonesia Menggugat: Pidato Pembelaan Bung Karno Di Depan Hakim Kolonial, Bandung, 1930","Sukarno",785,4.24,17,204,2001,NA,"Gunung Agung",NA,"Indonesian",NA,"Indonesia Bandung(Indonesia)","Sungguh sebuah ironi bahwa buku ini lebih sering ditemukan di pasar buku bekas untuk diperjualbelikan dengan harga selangit ketimbang dibicarakan di ruang-ruang kelas kita. Pemikiran Soekarno, satu dari sekian bapak bangsa yang harus kita revitalisasi ulang pemikirannya, yang penuh dengan agitasi dan ajakan untuk bergerak (dulu bahkan ada istilah ""Djakarta di Djaman Berger"
"Mangan Ora Mangan Kumpul","Umar Kayam",773,4.18,67,458,1990,NA,"Grafiti",NA,"Indonesian","Mangan Ora Mangan Kumpul #1","Indonesia","Dikemas dalam gaya seloroh, nakal dan santai, kumpulan kolom Umar Kayam ini mencuatkan sesuatu yang transendental. Teknik penulisannya pun, uniknya, mengingatkan kita pada Obrolan Pak Besut di RRI Yogyakarta dahulu yang menghadirkan sejumlah tokoh tetap, dan mengikat ""alur cerita"" dengan warna lokal yang kental.Jika kemudian warna lokal Jawa yang dipilihnya, agaknya harus"
"Habibie & Ainun","Bacharuddin Jusuf Habibie",773,4.19,275,323,2010,NA,"THC Mandiri",NA,"Indonesian",NA,NA,"Ainun:""Saya bahagia malam-malam hari berdua di kamar: dia sibuk di antara kertas-kertasnya yang berserakan di tempat tidur, saya menjahit, membaca atau berbuat lainnya. Saya terharu melihat ia pun banyak membantu tanpa diminta: mencuci piring, mencuci popok bayi yang ada isinya...""Habibie:""Terima kasih Allah, Engkau telah menjadikan Ainun dan saya manunggal jiwa, roh, bati"
"JJS: Jalan-Jalan Seram! (Lupus Kecil, #3)","Hilman Hariwijaya",762,3.35,18,150,1991,1991,"PT Gramedia Pustaka Utama",NA,"Indonesian","Lupus Kecil #3",NA,"Hanya keluarga Lupus-lah yang bisa ngeliat bayangan serem di Bukit Seram, pada saat asyik kemping bareng Pepno dan Iko Iko. Dan memang hanya Lupus yang punya taktik mengelabui para pemalak di sekolahnya, dengan tidak meminta uang jajan ke Mami!Juga cuma Lupus anak yang nggak mau mati waktu jadi pejuang dalam drama yang langsung disorot tipi.Lupus memang anak kecil dengan s"
"Celana","Joko Pinurbo",741,3.68,28,74,1999,NA,"Indonesia Tera",NA,"Indonesian",NA,"Indonesia","Kumpulan 44 Sajak Joko Pinurbo, dengan kata penutup oleh Sapardi Djoko Damono."
"Kubah","Ahmad Tohari",733,3.72,120,189,2005,1980,"Gramedia Pustaka Utama",NA,"Indonesian",NA,"Indonesia","Tidak mudah bagi seorang lelaki untuk mendapatkan kembali tempatnya di masyarakat setelah 12 tahun tinggal dalam pengasingan di Pulau B. Apalagi hati masyarakat memang pernah dilukainya. Karman, lelaki itu, juga telah kehilangan orang-orang yang dulu selalu hadir dalam jiwanya. Istrinya telah menikah dengan lelaki lain, anaknya ada yang meninggal, dan yang tersisa tak lagi"
"Raumanen","Marianne Katoppo",727,3.63,41,136,2006,1977,"Metafor Publishing","Raumanen Rumokoi, Monang Pohan.","Indonesian",NA,NA,"""Raumanen seorang gadis cantik, rajin, independen. Monang seorang pemuda flamboyan, doyan pesta, bermobil sedan mengkilap mewah merek Impala. Raumanen orang Manado, Monang orang Batak, walaupun keduanya besar di Jakarta.Tentu saja mereka jatuh cinta. Perasaan yang menyusup perlahan-lahan dan baru mereka sadari setelah menjungkirbalikkan semuanya di dunia mereka."""
